字段名,字段类型,字段补充信息,说明,是否为普通索引,是否为唯一索引,是否为主键索引,是否为全文索引
id,int unsigned,AUTO_INCREMENT NOT NULL,自增长，活动id,,,1,
create_time,datetime(6),NOT NULL DEFAULT CURRENT_TIMESTAMP(6),创建时间,,,,
updated_time,datetime(6),NOT NULL DEFAULT CURRENT_TIMESTAMP(6) ON UPDATE CURRENT_TIMESTAMP(6),更新时间,,,,
mac,varchar(20),DEFAULT NULL,mac地址,1,,,
router,varchar(100),DEFAULT NULL,"","","","",""
rssi,int,DEFAULT NULL,,,,,
rssi1,int,DEFAULT NULL,,,,,
rssi2,int,DEFAULT NULL,,,,,
rssi3,int,DEFAULT NULL,,,,,
rssi4,int,DEFAULT NULL,,,,,
tar_ssid,varchar(100),DEFAULT NULL,,,,,
tar_mac,varchar(20),DEFAULT NULL,,,,,
is_connected,boolean,DEFAULT NULL,,,,,
is_sleeping,boolean,DEFAULT NULL,,,,,
essid0,varchar(100),DEFAULT NULL,,,,,
essid1,varchar(100),DEFAULT NULL,,,,,
essid2,varchar(100),DEFAULT NULL,,,,,
essid3,varchar(100),DEFAULT NULL,,,,,
essid4,varchar(100),DEFAULT NULL,,,,,
essid5,varchar(100),DEFAULT NULL,,,,,
essid6,varchar(100),DEFAULT NULL,,,,,
distance,double,DEFAULT NULL,,,,,
